,x,y,z
156745,5951784.28,2159947.09,105.35000000000001
156746,5951786.32,2159946.37,105.51
156747,5951787.3,2159946.0100000002,105.68
156748,5951790.62,2159944.82,106.3
156749,5951791.5,2159944.43,106.3
156750,5951792.55,2159944.14,106.43
156751,5951793.34,2159943.71,106.56
156752,5951772.8,2159951.75,103.77
156753,5951773.39,2159951.62,103.9
156754,5951773.88,2159951.45,103.87
156755,5951774.67,2159950.99,104.04
156756,5951794.23,2159963.13,105.48
156757,5951796.26,2159962.34,105.71000000000001
156758,5951797.67,2159961.85,106.04
156759,5951758.99,2159976.88,100.46000000000001
156760,5951771.16,2159972.06,102.13
156761,5951772.24,2159971.86,102.3
156762,5951769.36,2159972.88,101.8
156763,5951770.37,2159972.61,102.07000000000001
156764,5951753.71,2159978.81,99.77
156765,5951756.4,2159977.8,100.03
156766,5951785.24,2159966.81,104.2
156767,5951772.74,2159971.47,102.3
156768,5951787.2,2159966.05,104.53
156769,5951786.12,2159966.31,104.36
156770,5951788.09,2159965.69,104.53
156771,5951790.0600000005,2159964.97,104.86
156772,5951791.57,2159964.38,104.99000000000001
156773,5951792.42,2159963.98,105.28
156783,5951804.3,2159943.35,50.160000000000004
156784,5951804.76,2159943.09,50.43
156785,5951805.22,2159942.92,50.75
156810,5951805.54,2159942.89,50.95
156811,5951805.87,2159942.69,50.92
156812,5951806.46,2159942.46,51.44
156813,5951807.32,2159942.3,51.050000000000004
156816,5951810.07,2159941.05,50.2
156823,5951810.3,2159941.08,50.1
156824,5951809.38,2159941.61,50.79
156825,5951810.3,2159941.2800000003,50.620000000000005
156826,5951809.84,2159941.38,50.52
156827,5951808.79,2159942.04,51.38
156848,5951802.39,2159944.23,51.050000000000004
156850,5951803.58,2159947.7800000003,51.08
156851,5951803.7700000005,2159948.04,51.35
156852,5951804.0,2159948.34,51.51
156853,5951806.73,2159942.59,52.36
156854,5951806.96,2159942.86,52.620000000000005
156855,5951806.07,2159943.09,53.02
156856,5951805.58,2159943.45,53.38
156857,5951806.43,2159942.95,52.79
156858,5951807.09,2159942.33,51.9
156859,5951807.58,2159942.4,52.07
156860,5951808.43,2159942.1,52.13
156861,5951808.04,2159942.23,52.49
156862,5951807.32,2159942.59,52.2
156863,5951809.12,2159941.97,53.18
156864,5951809.97,2159941.54,53.84
156865,5951811.94,2159940.79,54.04
156866,5951810.5,2159941.2800000003,54.1
156867,5951810.92,2159941.08,54.43
156868,5951811.22,2159941.08,54.660000000000004
156869,5951811.78,2159941.08,55.02
156870,5951805.7700000005,2159943.41,57.22
156871,5951806.92,2159943.32,58.01
156872,5951807.58,2159942.95,58.56
156873,5951807.25,2159943.22,58.370000000000005
156874,5951808.46,2159942.66,57.84
156875,5951811.0200000005,2159941.54,55.94
156876,5951811.48,2159941.22,55.61
156877,5951811.42,2159941.48,55.71
156878,5951810.2,2159942.0,56.63
156879,5951809.94,2159942.13,56.82
156880,5951810.5600000005,2159941.71,56.27
156881,5951811.78,2159941.22,56.99
156882,5951811.78,2159941.35,57.94
156883,5951812.01,2159941.35,57.81
156884,5951808.76,2159942.5,57.68
156885,5951809.15,2159942.46,57.410000000000004
156886,5951809.58,2159942.33,57.18
156887,5951802.69,2159944.27,52.39
156888,5951802.95,2159944.33,53.64
156889,5951802.53,2159944.37,53.02
156890,5951802.79,2159944.43,54.300000000000004
156891,5951804.0,2159944.1,54.43
156892,5951804.4,2159943.87,54.13
156893,5951804.76,2159943.84,53.94
156894,5951805.12,2159943.55,53.67
156895,5951803.71,2159944.23,55.25
156896,5951802.99,2159945.7800000003,54.43
156897,5951803.25,2159944.27,55.35
156898,5951803.12,2159944.43,55.84
156899,5951804.33,2159944.0,56.14
156900,5951804.76,2159943.71,56.43
156901,5951803.94,2159946.56,56.59
156902,5951804.13,2159946.83,56.92
156903,5951803.64,2159944.63,57.97
156904,5951804.36,2159947.09,57.120000000000005
156905,5951804.72,2159948.5,58.230000000000004
156906,5951804.95,2159948.7600000002,58.370000000000005
156907,5951805.18,2159949.06,58.63
156908,5951806.46,2159943.48,57.64
156931,5951812.47,2159940.3,50.36
156932,5951813.42,2159942.73,50.36
156933,5951813.65,2159942.99,50.59
156934,5951813.84,2159943.2800000003,50.69
156963,5951813.65,2159943.61,50.95
156964,5951813.84,2159943.87,51.18
156965,5951814.07,2159944.17,51.35
156966,5951814.93,2159946.6,51.050000000000004
156967,5951814.76,2159946.2,51.480000000000004
156968,5951815.12,2159946.96,50.980000000000004
156972,5951815.49,2159947.74,50.39
156973,5951812.34,2159940.46,51.94
156974,5951812.2,2159940.63,52.95
156975,5951813.32,2159943.18,53.44
156976,5951812.57,2159941.68,54.56
156977,5951812.24,2159940.92,55.050000000000004
156978,5951812.4,2159941.18,55.18
156979,5951812.73,2159942.0,54.300000000000004
156980,5951812.93,2159942.36,54.1
156981,5951813.09,2159942.79,53.71
156982,5951812.04,2159941.15,56.230000000000004
156983,5951812.2700000005,2159941.45,56.43
156984,5951812.63,2159942.17,55.97
156985,5951812.83,2159942.43,56.14
156986,5951812.96,2159943.22,56.69
156987,5951813.68,2159943.91,52.99
156988,5951814.01,2159944.73,52.230000000000004
156989,5951813.84,2159944.27,52.72
156990,5951814.17,2159945.09,52.0
156991,5951814.4,2159945.42,52.17
156992,5951814.600000001,2159945.71,52.2
156993,5951814.63,2159946.4,52.79
156994,5951814.83,2159946.69,52.95
156995,5951815.03,2159946.96,53.120000000000005
156996,5951814.93,2159947.45,53.54
156997,5951815.12,2159947.74,53.64
156998,5951815.09,2159948.04,53.81
156999,5951815.350000001,2159948.0100000002,53.9
157000,5951815.29,2159948.3,54.07
157001,5951815.32,2159948.99,54.33
157002,5951815.45,2159949.98,55.25
157003,5951815.49,2159948.6,54.2
157004,5951815.88,2159949.94,54.2
157005,5951815.5200000005,2159949.22,54.69
157006,5951815.71,2159949.55,54.76
157007,5951812.89,2159943.45,56.99
157008,5951813.16,2159943.45,57.02
157009,5951813.32,2159943.97,57.45
157010,5951813.5200000005,2159944.92,58.04
157011,5951814.53,2159948.0100000002,56.79
157012,5951815.29,2159949.58,55.54
157013,5951815.09,2159949.16,55.870000000000005
157014,5951814.7,2159948.37,56.5
157015,5951814.93,2159948.79,56.2
157016,5951814.21,2159947.22,57.38
157017,5951814.01,2159946.79,57.81
157034,5951809.38,2159953.09,50.72
157035,5951809.78,2159952.86,51.08
157036,5951811.42,2159952.11,51.74
157037,5951811.97,2159952.21,51.77
157042,5951806.23,2159954.37,50.36
157043,5951805.0200000005,2159950.6,53.050000000000004
157044,5951805.25,2159950.89,53.28
157045,5951805.45,2159951.19,53.44
157046,5951805.87,2159952.57,54.17
157047,5951806.07,2159952.8,54.43
157048,5951806.3,2159953.09,54.660000000000004
157049,5951806.53,2159953.36,54.89
157050,5951807.84,2159953.29,55.28
157051,5951810.47,2159952.5,52.59
157052,5951809.350000001,2159952.99,53.480000000000004
157053,5951810.07,2159952.73,52.89
157054,5951809.74,2159952.83,53.22
157055,5951810.89,2159952.44,52.1
157056,5951811.32,2159952.34,52.13
157057,5951811.65,2159952.37,52.0
157058,5951807.15,2159953.29,55.61
157059,5951808.76,2159952.67,56.79
157060,5951809.19,2159952.44,57.18
157061,5951811.22,2159951.7800000003,58.660000000000004
157078,5951813.94,2159951.55,50.39
157082,5951816.21,2159950.17,51.35
157083,5951812.34,2159951.52,52.79
157084,5951812.96,2159951.39,53.28
157085,5951813.25,2159951.16,53.38
157086,5951813.71,2159950.99,53.71
157087,5951814.76,2159950.7,54.53
157088,5951815.0600000005,2159950.44,54.86
157089,5951816.21,2159950.27,52.39
157090,5951815.65,2159950.3,55.25
157091,5951813.65,2159950.8,56.56
157092,5951813.39,2159950.93,56.86
157093,5951814.07,2159950.73,56.33
157094,5951808.14,2159942.82,58.76
157095,5951811.61,2159941.5100000002,59.02
157096,5951809.74,2159942.5,60.300000000000004
157097,5951808.79,2159942.63,59.550000000000004
157098,5951811.88,2159941.64,59.910000000000004
157099,5951810.2,2159942.2,60.5
157100,5951810.79,2159942.2,60.99
157101,5951811.09,2159941.97,61.22
157102,5951811.68,2159941.84,61.52
157103,5951811.88,2159942.1,61.81
157104,5951812.04,2159942.56,61.29
157105,5951810.33,2159942.59,62.800000000000004
157106,5951810.07,2159942.89,63.120000000000005
157107,5951809.65,2159942.79,63.32
157108,5951809.88,2159943.05,63.480000000000004
157109,5951811.09,2159942.3,62.14
157110,5951810.7,2159942.4,62.5
157111,5951811.350000001,2159942.1,62.07
157112,5951811.97,2159942.95,62.6
157113,5951811.61,2159942.13,63.35
157114,5951809.25,2159942.99,63.75
157115,5951811.38,2159942.23,63.81
157116,5951811.65,2159942.4,64.6
157117,5951811.29,2159942.46,65.29
157118,5951803.58,2159944.82,60.24
157119,5951805.05,2159944.63,60.63
157120,5951803.84,2159944.82,61.68
157121,5951805.41,2159949.32,58.92
157122,5951804.92,2159944.63,62.53
157123,5951805.41,2159944.5,62.93
157124,5951804.89,2159947.02,63.480000000000004
157125,5951805.09,2159947.29,63.78
157126,5951805.3100000005,2159947.55,63.980000000000004
157127,5951806.76,2159943.45,59.25
157128,5951805.94,2159943.84,59.84
157129,5951805.7700000005,2159944.2,60.17
157130,5951806.5,2159943.87,59.58
157131,5951807.45,2159943.41,58.79
157132,5951807.18,2159943.41,58.99
157133,5951805.61,2159949.61,59.120000000000005
157134,5951805.97,2159944.33,63.52
157135,5951806.4,2159944.07,63.75
157136,5951806.82,2159943.87,64.21000000000001
157137,5951808.63,2159943.5100000002,64.44
157138,5951807.41,2159943.71,64.67
157139,5951807.68,2159943.91,65.29
157140,5951808.33,2159943.45,64.63
157141,5951808.14,2159943.81,65.03
157142,5951808.96,2159943.35,64.11
157143,5951805.71,2159948.83,65.06
157144,5951809.28,2159943.22,66.24
157145,5951809.84,2159942.95,66.83
157146,5951811.5200000005,2159942.63,66.01
157147,5951811.19,2159942.63,66.99
157148,5951810.47,2159942.86,67.26
157149,5951810.99,2159942.86,67.78
157150,5951811.65,2159943.12,67.72
157151,5951811.42,2159942.73,67.91
157152,5951810.4,2159943.15,68.8
157153,5951811.25,2159942.92,68.93
157154,5951811.0200000005,2159943.05,69.39
157155,5951811.45,2159943.22,68.86
157156,5951811.29,2159943.15,70.31
157157,5951810.92,2159943.22,71.33
157158,5951804.53,2159945.25,67.19
157159,5951805.12,2159945.25,70.14
157160,5951805.350000001,2159945.38,71.0
157161,5951806.96,2159944.23,65.94
157162,5951806.2,2159944.6,66.57000000000001
157163,5951806.5600000005,2159944.4,66.24
157164,5951807.28,2159944.14,65.68
157165,5951808.600000001,2159943.58,65.65
157166,5951808.92,2159943.5100000002,65.91
157167,5951811.97,2159943.94,66.86
157168,5951812.14,2159944.3,66.54
157169,5951811.8100000005,2159943.55,67.19
157170,5951806.17,2159949.35,65.65
157171,5951806.36,2159949.61,65.85
157172,5951806.13,2159944.99,69.46000000000001
157173,5951806.33,2159944.69,69.52
157174,5951807.0200000005,2159944.79,70.18
157175,5951808.76,2159944.0,70.54
157176,5951808.04,2159944.3,71.23
157177,5951808.43,2159944.23,71.16
157178,5951807.87,2159944.73,71.75
157179,5951810.07,2159943.48,69.29
157180,5951809.61,2159943.91,69.78
157181,5951809.25,2159943.94,70.21000000000001
157182,5951809.74,2159943.64,69.62
157183,5951811.65,2159943.58,68.73
157184,5951811.84,2159943.84,69.03
157185,5951811.8100000005,2159944.3,69.39
157186,5951812.01,2159944.56,69.72
157187,5951811.15,2159943.41,71.92
157188,5951812.04,2159945.32,70.51
157189,5951812.14,2159946.2,71.36
157190,5951811.94,2159945.7800000003,71.78
157191,5951805.84,2159947.38,70.11
157192,5951806.04,2159947.65,70.37
157193,5951806.33,2159948.43,71.23
157194,5951806.79,2159948.93,71.85000000000001
157195,5951812.24,2159949.91,69.62
157196,5951812.2,2159942.99,60.7
157197,5951812.2,2159943.25,62.800000000000004
157198,5951813.12,2159944.89,59.22
157199,5951812.76,2159944.1,59.84
157200,5951812.57,2159943.71,60.2
157201,5951812.93,2159944.5,59.51
157202,5951813.45,2159945.65,58.63
157203,5951813.68,2159945.97,58.6
157204,5951813.88,2159946.27,58.83
157205,5951812.4,2159943.35,60.47
157206,5951813.98,2159947.09,59.65
157207,5951814.17,2159947.38,59.910000000000004
157208,5951814.4,2159947.65,60.17
157209,5951815.26,2159949.94,59.25
157210,5951814.34,2159948.11,60.370000000000005
157211,5951814.53,2159948.4,60.63
157212,5951814.600000001,2159949.12,61.09
157213,5951814.99,2159949.7800000003,61.09
157214,5951814.8,2159949.39,61.32
157215,5951812.4,2159943.5100000002,62.99
157216,5951812.37,2159943.94,63.35
157217,5951812.57,2159944.2,63.620000000000005
157218,5951812.76,2159944.43,63.85
157219,5951812.600000001,2159944.96,64.11
157220,5951812.8,2159945.15,64.44
157221,5951812.99,2159945.42,64.67
157222,5951812.86,2159945.87,65.16
157223,5951813.22,2159946.5,65.09
157224,5951813.0600000005,2159946.2,65.12
157225,5951813.71,2159947.91,63.32
157226,5951814.04,2159948.66,62.660000000000004
157227,5951814.67,2159949.61,62.800000000000004
157228,5951813.88,2159948.3,62.86
157229,5951813.350000001,2159947.06,64.14
157230,5951813.55,2159947.48,63.68
157231,5951814.5,2159949.65,64.4
157232,5951812.3,2159944.73,66.21000000000001
157233,5951812.66,2159945.5100000002,65.49
157234,5951812.47,2159945.12,65.85
157235,5951813.25,2159947.02,66.04
157236,5951813.45,2159947.29,66.31
157237,5951813.39,2159947.7800000003,66.54
157238,5951813.65,2159947.58,66.4
157239,5951813.58,2159948.0100000002,66.93
157240,5951812.8,2159949.98,66.93
157241,5951814.34,2159949.58,65.75
157242,5951813.78,2159948.27,67.13
157243,5951813.84,2159949.06,67.81
157244,5951813.65,2159948.66,68.24
157245,5951814.04,2159949.39,67.81
157246,5951812.24,2159945.58,70.73
157247,5951812.37,2159946.47,71.65
157248,5951812.7,2159949.88,69.13
157249,5951812.57,2159946.7600000002,71.72
157250,5951813.39,2159948.93,71.42
157251,5951805.8100000005,2159950.66,59.88
157252,5951806.23,2159951.19,60.300000000000004
157253,5951806.43,2159951.42,60.6
157254,5951806.53,2159952.0100000002,60.86
157255,5951806.73,2159952.31,61.09
157256,5951807.48,2159952.86,61.29
157257,5951811.48,2159951.19,58.99
157258,5951811.94,2159951.06,59.28
157259,5951810.2700000005,2159951.81,58.99
157260,5951809.55,2159952.21,59.78
157261,5951810.63,2159951.75,58.79
157262,5951809.12,2159951.68,63.65
157263,5951810.79,2159950.73,65.16
157264,5951810.99,2159951.12,64.93
157265,5951806.46,2159950.17,66.34
157266,5951806.66,2159950.44,66.54
157267,5951806.99,2159951.48,67.65
157268,5951808.07,2159951.48,68.67
157269,5951809.45,2159951.42,66.17
157270,5951810.07,2159951.19,65.45
157271,5951811.22,2159950.57,65.45
157272,5951811.8100000005,2159950.44,65.94
157273,5951808.5600000005,2159951.19,69.03
157274,5951807.48,2159951.75,69.09
157275,5951809.25,2159950.89,70.05
